ID;sexe;situation_relationnelle;duree_relation;sexe_partenaire;enceinte;partenaire_enceinte;enfants;souhait_enfant;partenaires_femmes;partenaires_hommes;grossesse_anterieure;grossesse_anterieure_partenaire;grossesse_cont_aucune;grossesse_cont_pres;grossesse_cont_autre;cont_pilule;cont_sterilet;cont_implant;cont_preservatif_masculin;cont_retrait;cont_autres;cont_aucun;nocont_inactivite;nocont_enfant_souhait;nocont_enfant_impossible;pilule_lendemain;pilule_lendemain_cause;opinion_epanouie;opinion_grossir;opinion_contrainte;opinion_difficulte_apres;opinion_sante;probleme_medical;probleme_endometriose;probleme_regles_douloureuses;probleme_acne;medecin_gyneco;medecin_effets_secondaires;medecin_benefices;medecin_risques;mutuelle;renoncement_soins;habitat_TUU2014;demo_age;demo_diplome;demo_revenus;religion_importance;religion_education;politique_gauche_droite;ponderation
834;1;1;3;2;6;3;1;2;1;0;6;1;2;2;1;2;2;2;2;2;2;1;2;2;1;1;66;2;5;5;5;5;6;6;6;6;6;6;6;6;1;2;0;9;2;11;3;1;5;1,07033426
835;1;2;6;6;6;6;2;1;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;1;5;5;5;2;6;6;6;6;6;6;6;6;1;2;3;1;5;3;4;2;5;1,157798569
836;1;1;3;2;6;3;2;1;20;0;6;2;6;6;6;1;2;2;2;2;2;2;6;6;6;1;66;3;2;5;5;5;6;6;6;6;6;6;6;6;1;2;2;1;2;6;4;1;4;0,909652553
837;1;1;3;2;6;3;1;2;7;0;6;1;2;2;1;2;1;2;2;2;2;2;6;6;6;1;66;4;3;1;4;2;6;6;6;6;6;6;6;6;1;2;2;5;4;13;3;1;9;0,595510784
838;2;1;3;1;3;6;1;2;0;4;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;5;96;96;96;96;NA;0,898374547
839;2;1;3;1;3;6;1;2;0;6;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;6;6;3;2;2;4;4;2;2;1;2;1;1;1;2;1;1;1;3;1;77;1;1;6;1,251381958
840;2;1;3;1;3;6;1;3;0;1;1;6;1;2;2;2;2;2;2;2;2;1;1;2;1;6;3;2;3;3;2;5;2;2;2;2;1;2;2;1;1;2;0;7;1;8;2;1;8;1,893184612
841;1;1;3;2;6;3;2;2;1;0;6;1;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;1;3;2;4;2;6;6;6;6;6;6;6;6;1;2;1;5;4;13;1;1;6;0,375640826
842;1;2;6;6;6;6;1;3;888;888;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;1;2;2;2;5;6;6;6;6;6;6;6;6;1;1;0;8;4;7;2;1;3;0,244007918
843;2;1;3;1;3;6;1;2;0;3;1;6;1;2;2;2;2;2;2;1;2;2;6;6;6;1;66;2;1;2;2;2;2;2;1;2;1;1;2;2;1;2;0;2;2;77;2;1;8;0,56664271
844;1;2;6;6;6;6;2;3;10;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;3;5;5;5;5;6;6;6;6;6;6;6;6;1;2;3;8;3;7;1;2;5;1,210614667
845;2;2;6;6;3;6;1;3;0;2;1;6;1;2;2;2;2;2;2;2;2;1;1;2;2;1;66;1;1;2;2;1;1;2;2;2;2;6;6;6;1;1;3;8;1;4;1;2;6;3,419812868
